item_clean,SemDis_glove_c_m,response
book,1.16082,dinner plate
book,0.98487,ladder
book,1.01778,jenga
book,1.22129,building bricks
book,0.95336,tray
book,0.7096,table
book,0.81213,hat
book,0.94984,umbrella
book,1.31019,To read
book,1.24757,a hat
book,0.7055199999999999,to paper the walls with
book,1.2587,as a door stop
book,1.25892,to throw at someone
book,1.25352,to burn for fuel yikes
book,0.76888,to cut up as a collage
book,0.74246,to colour in the 'o's
book,0.72355,to turn the pages into a dress
book,1.29364,to make a moving picture book
book,1.25823,to fan yourself with the pages
book,0.7298100000000001,to use as a table
book,0.74134,to use to reach high spaces on a shelf
book,1.05637,to use as a pillow
book,0.75787,to burn in a fire
book,0.7040299999999999,to use as snow shoes
book,1.22797,to use as a fan in hot weather
book,1.21504,to throw at an annoying neighbour
book,0.73569,to slide across a carpet
book,0.77854,to hollow out and use to store precious items
book,0.71941,building a house
book,1.29929,using as table legs
book,0.96456,insulation in loft
book,0.6616,turning into paper mache
book,1.22858,lining gerbil cage
book,1.25335,to plaster cast someone's leg
book,0.70546,cooking to see what it tastes like
book,0.6551199999999999,as a neck rest/pillow
book,0.77476,pile up a few for  booster seat
book,0.7000500000000001,make designs out of the pages by cutting them for decoration
book,1.26928,cut out the middle and use to hide precious items
book,1.26623,make a seat or ottoman out of them
book,0.7093,use them to raise or level furniture
book,1.24746,draw on the edge as art
book,0.69601,cut out the middle and hide things
book,1.23811,attach to a motor and make a fan
book,0.76357,make a house for insects
book,0.7443500000000001,use as a paperweight
book,1.28688,use as a step
book,1.22592,prop up a table
book,0.78171,use as a doorstop
book,1.26653,press flowers between pages
book,0.69388,display as decoration
book,1.26798,interlock 2 books together to create a bridge
book,1.23534,use a pile of books as a stand
book,1.26966,Use the paper in old books for paper mashe
book,1.25806,to start a fire
book,0.8916,hamster bedding
book,1.32639,step up
book,0.98552,placemat / coaster
book,1.32242,phone holder
book,1.30945,book holder
book,0.9205,notepad
book,0.69207,stand on to reach higher
book,0.89396,pub decoration
book,1.2697,cut to a hole to hide personal belonging
book,0.68937,hide a gun
book,1.29294,keep a key hidden
book,1.04465,Paperweight
book,1.25243,Pressing leaves and flowers
book,1.27057,Stached up to raise height of something
book,1.21086,Plant stand
book,1.20412,Prop up table leg
book,0.75034,Hold window or door shut
book,1.05161,Door wedge
book,1.22014,Hollow out and hide something in
book,1.25326,tower building
book,1.29487,a seat
book,1.08469,a stool
book,0.70953,make a bouquet from the pages
book,0.6732899999999999,make origami figures from the pages
book,1.28193,a fan
book,1.27475,door stop
book,0.50832,reading
book,1.31743,paper weight
book,0.88106,weapon
book,1.13404,fly killer
book,1.28905,as a step up
book,1.19444,Footrest
book,0.8728400000000001,Wallpaper
book,1.24605,wrapping paper
book,1.02875,Cushion
book,0.78457,step
book,1.18369,pet bed
book,0.7398,fan
book,0.9932,spider killer
book,1.15826,wall tile
book,1.16082,dinner plate
book,0.66362,weigh something down
book,1.2728,hold a door open
book,1.26886,fuel for a fire
book,1.04465,paperweight
book,0.97121,coaster
book,1.11953,footstool
book,0.82794,weight
book,1.31743,Paper weight
book,1.00698,Food tray
book,0.69506,Light a fire
book,1.24236,creative display area in a school
book,1.22816,ceiling design
book,1.1567,large scale paper page design motif
book,0.82376,create a doorway of books
book,1.23438,make a set of decorative steps
book,0.7439100000000001,redesign the cover of the book however you like
book,0.72435,open up in a circular fashion for art projects
book,0.90109,tent
book,1.02794,slope
book,0.83029,tracing
book,0.94459,ornament
book,1.24757,a hat
book,0.79541,a fly swat
book,1.2184,stack lots on top of each other as a ladder
book,1.29487,a seat
book,0.74655,kids building blocks
book,0.67669,to hide behind
book,1.28193,a fan
book,0.94984,umbrella
book,1.00503,doorstop
book,1.04465,paperweight
book,1.21649,table leg
book,1.0461,frisbee
book,1.14169,foot stool
book,1.00988,cheap armour
book,,shinguard
book,1.06006,kindling
book,0.88853,seat
book,1.28605,cover your eyes when it's sunny7
book,0.7723,keep people from talking to you on the bus
book,1.10951,ballast
book,1.20098,sen ding messages to a spy
book,1.23395,toy for my pet rats to shred
book,0.5920799999999999,rolling paper frpo joints
book,1.21965,to make art  wall paper  put your drink on  fan yourself in heat  stacked up as a table
book,1.43766,wall paper
book,1.26573,put a drink on
book,1.24574,fan yourself in heat
book,0.94459,ornament
book,1.22129,building bricks
book,0.99003,mat
book,0.79166,shelf
book,1.05161,door wedge
book,0.7398,fan
book,0.78457,step
book,1.09408,chew for a rabbit/rat/mouse
book,1.12293,paint brush
book,1.04349,toothpick
book,1.31156,use the pages as decoupage
book,0.73829,pages can be mount for a painting
book,0.75266,as a secret store for alcohol or smuggled objects
book,0.72521,as a codebreaker system
book,0.7149099999999999,as a hat
book,0.71905,to stack up into shelves as a metabookcase
book,1.00591,Stool
book,1.28113,Build a chair out of books
book,1.19326,Indoor wall
book,0.71873,Cut up for bookmarks
book,1.304,Cut up for paper mache
book,1.23807,Secret hiding spot  cut hole out of inside
book,0.73988,Turn into Opening device for secret passage
book,,Lampstand
book,1.29355,To train in balance
book,1.26385,to open a window
book,0.65101,as a weight
book,1.22116,use the paper to make crafts
book,1.04465,Paperweight
book,0.6416200000000001,Fix a gap
book,0.80734,Paper aeroplanes
book,1.04737,Confetti
book,,Orgami
book,0.88969,fly swatter
book,0.96739,swingball racket
book,1.04465,paperweight
book,1.33403,paper to write on
book,0.7398,fan
book,1.10749,wall decor
book,1.09595,bathroom tile
book,0.80028,to flatten pastry
book,0.93647,Origami
book,0.8728400000000001,wallpaper
book,1.24945,Wall art
book,0.77502,Christmas bauble
book,0.81213,hat
book,0.69031,to make models with paper
book,1.25883,cut out the inside pages and make a book safe
